Bibliotek|Alternativt biblioteksnamn|Sigel|Bibliotekstyp|Gatuadress|Postnummer|Ort|Besöksadress|Latitud|Longitud|Län|Kommunkod|Telefonnummer|E-post|Webbadress|Geocode
NTNU Universitetsbiblioteket||5Rtr||Kunnskapssenteret, St. Olavs Hospital|NO-7006|Trondheim||0|0|||4772576680|medbib-ill@ub.ntnu.no|http://www.ntnu.no/ub/fagside/medisin|Kunnskapssenteret, St. Olavs Hospital, NO-7006, Trondheim, Norway
Rusmiddeldirektoratet||5Rud||PB 8152 Dep.|0033|Oslo||0|0|||4722942900||http://|PB 8152 Dep., 0033, Oslo, Norway
Statens kartverk||5Sk|||N-3500|Hønefoss|anni-may.rastad@statkart.no|0|0|||4732118100||http://|anni-may.rastad@statkart.no, N-3500, Hønefoss, Norway
Högskolen i Telemark||5Ted||Hallvard Eikas plass|3800|Bø i Telemark|Hallvard Eikas plass|0|0|||+47 35 95 25 48|bibbo@hit.no|http://www.hit.no/nor/HiT/Biblioteket|Hallvard Eikas plass, 3800, Bø i Telemark, Norway
Universitetsbiblioteket i Tromsø|Universitetsbiblioteket i Tromsö|5Toh|||9037|Tromsö||0|0|||4777644158|ksutlan@ub.uit.no|http://www.ub.uit.no/|Universitetsbiblioteket i Tromsø, 9037, Tromsö, Norway
Vestfold fylkesbibliotek||5To||Postboks 2423|3104|Tønsberg|Kjelleveien 21|0|0|||4733378390|fylkesbiblioteket@vfk.no|http://vestfoldfylkesbibliotek.no/|Kjelleveien 21, 3104, Tønsberg, Norway
Universitetsbiblioteket i Tromsø|Universitetsbiblioteket i Tromsö|5Tor|||N-9037|Tromsö||0|0|||4777644800|rmhutlan@ub.uit.no|http://|Universitetsbiblioteket i Tromsø, N-9037, Tromsö, Norway
Universitetsbiblioteket i Tromsø|Universitetsbiblioteket i Tromsö|5Tou||Folkeparken|N-9037|Tromsö||0|0|||4777645006|imvutlan@ub.uit.no|http://www.imv.uit.no/ommuseet/ub.htm|Folkeparken, N-9037, Tromsö, Norway
Nasjonalbiblioteket||5Ub1||Postboks 2674 Solli|N-0203|Oslo|Henrik Ibsens gt. 110|0|0|||4723276070|innlaanet@nb.no|http://www.nb.no/|Henrik Ibsens gt. 110, N-0203, Oslo, Norway
Universitetsbiblioteket i Bergen||5Ubb||Pb. 7808|N-5020|Bergen|Haakon Sheteligs plass 7|0|0|||4755582519|ubbhf@ub.uib.no|http://www.ub.uib.no/|Haakon Sheteligs plass 7, N-5020, Bergen, Norway
Universitetsbiblioteket i Bergen||5Ubj||Magnus Lagabøtespl. 1|5020|Bergen|Magnus Lagabøtespl. 1|0|0|||4755589595|ubbjur@ub.uib.no|http://www.ub.uib.no/avdeling/jur/|Magnus Lagabøtespl. 1, 5020, Bergen, Norway
Universitetsbiblioteket i Bergen||5Ubm||Postboks 7808|5020|Bergen|Johannes Brunsgate 12|0|0|||4755584816/10|ubbrb@ub.uib.no|http://www.ub.uib.no/avdeling/matnat/|Johannes Brunsgate 12, 5020, Bergen, Norway
Universitetsbiblioteket i Bergen||5Ubs||Postboks 7808|5020|Bergen|Hermann Fossgate 6|0|0|||4755582807|ubbsv@ub.uib.no||Hermann Fossgate 6, 5020, Bergen, Norway
Universitetsbiblioteket i Trondheim||5Ubt|||7491|Trondheim|Universitetssenteret Dragvoll|0|0|||4773596735|dragvbib@ub.ntnu.no|http://www.ntnu.no/ub/omubit/bibliotekene/dragvoll|Universitetssenteret Dragvoll, 7491, Trondheim, Norway
Universitetsbiblioteket i Oslo||5Uju||Postboks 6713\nSt. Olavs plass|N-0130|Oslo|Karl Johansgt. 47|0|0|||4722859497|ujur@ub.uio.no|http://ub.uio.no/ujur/|Karl Johansgt. 47, N-0130, Oslo, Norway
Universitetsbiblioteket i Oslo||5Ume||Postboks 1134 Blindern|0318|Oslo|Fredrik Holsts hus, Kirkeveien 166|0|0|||4722851494||http://|Fredrik Holsts hus, Kirkeveien 166, 0318, Oslo, Norway
Universitetsbiblioteket i Oslo||5Umn||Postboks 1063 Blindern|NO-0316|Oslo|Vilhelm Bjerknes' hus, 2 etg., Molkte Moes vei 35|0|0|||4722855400|real-innlan@ub.uio.no|http://www.ub.uio.no/om/organisasjon/ureal/|Vilhelm Bjerknes' hus, 2 etg., Molkte Moes vei 35, NO-0316, Oslo, Norway
Universitetsbiblioteket i Oslo||5Uod||Boks 1009|0315|Blindern Oslo||0|0|||4722856701|bibliotek-hum-sam@ub.uio.no|http://www.ub.uio.no/uhs/|Boks 1009, 0315, Blindern Oslo, Norway
Universitetsbiblioteket i Oslo||5Usv||Fjerrlånet\nPostboks 1098-Blindern|0317|Oslo||0|0|||4722855314||http://|Fjerrlånet\nPostboks 1098-Blindern, 0317, Oslo, Norway
National Library of Technology||6Stk||Technická 6/2710|160 80|Praha 6||0|0|||42022222134|ILL@TECHLIB.CZ|http://www.techlib.cz/|Technická 6/2710, 160 80, Praha 6, Czech Republic
Tartu University Library|Tartu Ülikooli Raamatukogu|6Tar||W. Struve 1|50091|Tartu|W. Struve 1|0|0|||3727375778|loan@utlib.ee|http://www.utlib.ee/en/|W. Struve 1, 50091, Tartu, Estonia
Århus Universitet||2Fya||Ny Munkegade|8000|Århus C||0|0|||4589422899|livvego@phys.au.dk|http://www.phys.au.dk/library/bibliotek-uk.shtm|Ny Munkegade, 8000, Århus C, Denmark
Novo Nordisk A/S||2Nov||Novo allé, 6BCS|DK-2880|Bagsværd|Novo allé, 6BCS|0|0|||4544421980|indlaan@novonordisk.com|http://www.novonordisk.com|Novo allé, 6BCS, DK-2880, Bagsværd, Denmark
Helsingfors Universitet||3Pfb||PB 39|00014|Helsingfors||0|0|||3581918051|hktk-kauko@bulsa.helsinki.fi|http://www.helsinki.fi/kasv/kirjasto/|PB 39, 00014, Helsingfors, Finland
Randersegnens Biblioteker||2Rand||Stemannsgade 2|8900|Randers|Stemannsgade 2|0|0|||4587106800|hovedbiblioteket@randersbib.dk|http://www.randersbib.dk/|Stemannsgade 2, 8900, Randers, Denmark
Departementenes servicesenter||5Stf||Postboks 8129 Dep|0032|Oslo|Akersgata 59|0|0|||4722249831|bibliotek@dss.dep.no|http://www.dss.dep.no/|Akersgata 59, 0032, Oslo, Norway
Universitetsbiblioteket i Oslo||Ubo|||0242|Oslo||0|0|||4722859070||http://|Universitetsbiblioteket i Oslo, 0242, Oslo, Norway
Høgskulen i Volda|Högskolan i Volda|Vold||Postboks 500|6101|Volda|Joplassvegen|0|0|||4770075060|bibl@hivolda.no|http://www.hivolda.no/biblioteket|Joplassvegen, 6101, Volda, Norway
Haganässkolan||Haga|gymbib|Box 501|343 23|Älmhult||0|0|G|0765|047655236|gymnasiebiblioteket@almhult.se||Haganässkolan, 343 23, Älmhult, Sweden
Vägverket i Finland||3Tv||Box 33|005 21|Helsingfors||0|0|||358204442034||www.tieh.fi/rindex.htm|Vägverket i Finland, 005 21, Helsingfors, Finland
The National Library of the Czech Republic||6Cz||Klementinum 190|110 01|Prag|Klementinum 190|0|0|||420221663202|ill.os@nkp.cz|http://www.nkp.cz/altnkeng.htm|Klementinum 190, 110 01, Prag, Czech Republic
Värnamo sjukhusbibliotek||Vsjb|sjukbib||331 85|Värnamo|Doktorsgatan|57.1743|14.0282|F|0683|010-244 7940|biblioteket.varnamo@rjl.se|http://www.rjl.se/bibliotek|Doktorsgatan, 331 85, Värnamo, Sweden
Gällivare bibliotek||Gall|folkbib|Hantverkargatan 5|982 31|Gällivare||67.1363339|20.6596194|BD|2523|0970-818171|bibliotek@gallivare.se|http://www.bibblo.se/|Hantverkargatan 5, 982 31, Gällivare, Sweden
Österlens folkhögskola||Osfo|skolbib|Box 13|272 21|Tomelilla||0|0|LM|1270|041778440||http://|Österlens folkhögskola, 272 21, Tomelilla, Sweden
Stagneliusskolan||Stag|gymbib|Box 824|391 28|Kalmar|Fredriksskansgatan 5|56.6665616|16.36093|H|0880|0480451598|richard.ohlsson@gyf.se|http://www.stagg.gy-edu.kalmar.se/|Fredriksskansgatan 5, 391 28, Kalmar, Sweden
Anderstorpsskolan||Andb|gymbib|Gymnasievägen 5|931 57|Skellefteå||64.7413564|20.9686797|AC|2482|0910712612|bibliotek.anderstorp@skelleftea.se|http://anderstorpsskolan.skelleftea.se/default.aspx?id=149345&refid=152364|Gymnasievägen 5, 931 57, Skellefteå, Sweden
Militärhögskolan Halmstad|Garnisonsbiblioteket|Mhsh|univbib|Box 516|301 80|Halmstad|Militärhögskolan Halmstad, Flottiljområdet|56.680611|12.837773|N|1380|0352662886|biblioteket-mhs-h@mil.se|http://www.försvarsbiblioteken.se/mhs|Militärhögskolan Halmstad, Flottiljområdet, 301 80, Halmstad, Sweden
Gymnastik- och idrottshögskolan, GIH, biblioteket||Gih|univbib|Box 5626|114 86|Stockholm|Lidingövägen 1|59.346771|18.080755|AB|0180|08-120 538 00|biblioteket@gih.se|http://www.gih.se/bibliotek|Lidingövägen 1, 114 86, Stockholm, Sweden
AB Nynäs Petroleum, GCC||Nynp|busbib|Raffinaderi vägen|149 82|Nynäshamn||0|0|AB|0192|0852065315||http://|Raffinaderi vägen, 149 82, Nynäshamn, Sweden
Oscarsgymnasiet||Osca|gymbib|leveransadress: Biblioteket Box 708fakturaadress: Oskarshamns kommunBox 707 / refnr BUF50180045052|572 28|Oskarshamn|Stengatan  21|57.2571173|16.4443357|H|0882|049188521|gymbibl@oskarshamn.se|http://www.oskarshamn.se/bibliotekoscar|Stengatan  21, 572 28, Oskarshamn, Sweden
Bærum kommune ||5Bar||Presterud allé 2-4|N-1304|Sandvika|Presterud allé 2-4|0|0|||4767116900|barum@barum.folkebibl.no|http://www.barum.folkebibl.no/|Presterud allé 2-4, N-1304, Sandvika, Norway
Boliden Mineral AB||Bolm|busbib||932 81|Skelleftehamn|Rönnskärsverken|0|0|AC||0910773209|malin.utterstrom@boliden.com|http://www.boliden.se/|Rönnskärsverken, 932 81, Skelleftehamn, Sweden
Bokbussen, Skellefteå||Bokb|folkbib|Box 703|931 27|Skellefteå||0|0|AC|2482|||http://|Bokbussen, Skellefteå, 931 27, Skellefteå, Sweden
Bolidens bibliotek||Boli|folkbib|Folkets hus|936 31|Boliden||64.8702572|20.3780534|AC|2482|0910580535|bibliotek.boliden@skelleftea.se|http://www.skelleftea.se/|Folkets hus, 936 31, Boliden, Sweden
Bureå bibliotek||Bure|folkbib|N Ågatan 1|930 15|Bureå||64.6196254|21.1997768|AC|2482|0910781281||http://|N Ågatan 1, 930 15, Bureå, Sweden
Burträsk bibliotek||Burt|folkbib|Villagatan 5|937 31|Burträsk||64.5167459|20.6506544|AC|2482|0910740326|bibliotek.burtrask@skelleftea.se|http://|Villagatan 5, 937 31, Burträsk, Sweden
Byske bibliotek||Bysk|folkbib|Skolgatan 10|930 47|Byske|Skolgatan 10|64.95335919999999|21.2076067|AC|2482|0910740169|bibliotek.byske@skelleftea.se|http://|Skolgatan 10, 930 47, Byske, Sweden
Jörns bibliotek||Jorn|folkbib|Furugatan 9|930 55|Jörn||65.05522999999999|20.0428346|AC|2482|091610485|bibliotek.jorn@skelleftea.se|http://|Furugatan 9, 930 55, Jörn, Sweden
Kåge bibliotek||Kage|folkbib|Skolgatan 3|934 32|Kåge||64.834526|20.9750671|AC|2482|0910715411||http://|Skolgatan 3, 934 32, Kåge, Sweden
Lövångers bibliotek||Lova|folkbib|Skolvägen 6|930 10|Lövånger|Folkets Hus|64.36894150000001|21.3168481|AC|2482|091310449|bibliotek.lovanger@.skelleftea.se|http://|Folkets Hus, 930 10, Lövånger, Sweden
Morö Backe bibliotek||Moro|folkbib|Lyckogränd 139|931 50|Skellefteå|Lyckogränd 139|64.7529346|21.027039|AC|2482|0910735467|bibliotek.morobacke@kommun.skelleftea.se|http://|Lyckogränd 139, 931 50, Skellefteå, Sweden
Skelleftehamns bibliotek||Skel|folkbib|Berzeliusgatan 2|932 32|Skelleftehamn||64.6880015|21.2448704|AC|2482|091031077|bibliotek.skelleftehamn@kommun.skelleftea.se|http://|Berzeliusgatan 2, 932 32, Skelleftehamn, Sweden
Ursvikens bibliotek||Ursv|folkbib|Föreningsvägen 10|932 37|Ursviken||64.714507|24.160715|AC|2482|091030882|bibliotek.ursviken@skelleftea.se|http://www.skelleftea.se/biblioteket|Föreningsvägen 10, 932 37, Ursviken, Sweden
CUL|Centrum för Utveckling och Lärande|Lans|busbib|Kullgatan 6 - 8|824 30|Hudiksvall||0|0|X|2184|065019690|christina.hylenius@hudiksvall.se|http://|Kullgatan 6 - 8, 824 30, Hudiksvall, Sweden
Ådalsskolan gymnasiebibliotek||Anni|gymbib|Box 185|872 24|Kramfors||62.9310865|17.78517|Y|2282|0612692185|adalsskolan.bibliotek@kramfors.se|http://www.adalsskolan.se/om%20skolan/Biblioteket/biblioteket|Ådalsskolan gymnasiebibliotek, 872 24, Kramfors, Sweden
Hagagymnasiet||Hagg|gymbib|Läroverksgatan 6|784 40|Borlänge|Läroverksgatan 6|60.4895759|15.4135908|W|2081|024374706|hagabibl@borlange.se|http://www.hagagymnasiet.se/|Läroverksgatan 6, 784 40, Borlänge, Sweden
Kvänums bibliotek||Kvan|folkbib|Box 90|535 22|Kvänum||58.3025164|13.1844746|O|1470|051231650|||Kvänums bibliotek, 535 22, Kvänum, Sweden
Nykvarns bibliotek||Nykv|folkbib|Nykvarns kommun|155 80|Nykvarn|Centrumvägen 26|59.1775208|17.4324843|AB|0140|0855501100|biblioteket@nykvarn.se|http://www.nykvarn.se/biblioteket|Centrumvägen 26, 155 80, Nykvarn, Sweden
Herrgårdsgymnasiet||Hegy|gymbib||661 80|Säffle||59.12143|12.91776|S|1785|0533681908|hgbibl@saffle.se|http://www.herrgardsgymnasiet.com/|Herrgårdsgymnasiet, 661 80, Säffle, Sweden
Kungsgårdsgymnasiet||Kgym|skolbib|Holmstagatan 17|603 54|Norrköping||0|0|E|0581|011153863||http://www.kungsgard.norrkoping.se/|Holmstagatan 17, 603 54, Norrköping, Sweden
World Maritime University||Wmul|busbib|Box 500|201 24|Malmö|Fiskehamnsgatan 1, 211 18|0|0|LM|1280|040356344|library@wmu.se|http://library.wmu.se/|Fiskehamnsgatan 1, 211 18, 201 24, Malmö, Sweden
Västergötlands museum||Vgm|musbib|Box 253|532 23|Skara|Stadsträdgården, Skara|58.389612|13.440979|O|1495|051126014,26018|ulla.hallback@vgregion.se|http://www.vastergotlandsmuseum.se|Stadsträdgården, Skara, 532 23, Skara, Sweden
Mjölby gymnasium||Mjog|gymbib|Mjölby gymnasium Kungshögaskolan Biblioteket Gymnasievägen 1|595 34|Mjölby|Gymnasievägen 1, Mjölby|0|0|E|0586|014285354|elin.backstrom@mjolby.se|http://gybib.mjolby.se/|Gymnasievägen 1, Mjölby, 595 34, Mjölby, Sweden
IVL - Aneboda||Ivla|busbib||360 30|Lamhult||0|0|||0472262075|||IVL - Aneboda, 360 30, Lamhult, Sweden
Nolaskolan||Nola|gymbib|Viktoriaeplanaden 31|891 35|Örnsköldsvik||0|0|Y|2284|066088929||http://www.ornskoldsvik.se/gymnasium/|Viktoriaeplanaden 31, 891 35, Örnsköldsvik, Sweden
De Geergymnasiet||Degy|gymbib|Nygatan 68|602 34|Norrköping||58.5855823|16.1843992|E|0581|011153831||http://www.degeer.norrkoping.se/show.php?page=bibliotek|Nygatan 68, 602 34, Norrköping, Sweden
Utbildningsförvaltningen||Cwac|skolbib||371 83|Karlskrona|Drottninggatan 49|0|0|K|1080|0455304115|birgitta.wahlstrom@karlskrona.se|http://chapman.karlskrona.se|Drottninggatan 49, 371 83, Karlskrona, Sweden
Norges musikkhøgskole|Norges musikhögskola|5Mhb||Postboks 5190 Majorstuen|0302|Oslo|Slemdalsveien 11|0|0|||4723367034|b@nmh.no|http://www.nmh.no/biblioteket/|Slemdalsveien 11, 0302, Oslo, Norway
Politihøgskolen|Polishögskolan|5Phs||Postboks 5027|0301|Oslo||0|0|||4723199893|fellesbiboslo@phs.no|http://www.phs.no/bibliotek/phsbibl/prosjekt/index.htm|Postboks 5027, 0301, Oslo, Norway
Särna bibliotek||Sarn|folkbib|Torget|79090|Särna||61.6949502|13.1155996|W|2039|0253596610|bibliotek-kultur@alvdalen.se|http://www.alvdalen.se/biblioteket|Torget, 79090, Särna, Sweden
Idre bibliotek||Idre|folkbib|Byvägen 32|79091|Idre||0|0|W|2039|025331512|idre.bibliotek@alvdalen.se|http://www.alvdalen.se/biblioteket|Byvägen 32, 79091, Idre, Sweden
Hjalmar Lundbohmsskolan||Lugy|gymbib||981 85|Kiruna|Linnéstigen 4|67.8494994|20.2288467|BD|2584|098070439|sanna.gunnare@skola.kiruna.se|http://www.kiruna.se/kommun/Barn-utbildning/Gymnasieskola1/Gymnasieskola/|Linnéstigen 4, 981 85, Kiruna, Sweden
Göteborgs universitetsbibliotek||Gdig|univbib|Box 222|405 30|Göteborg||57.695103|11.985259|O|1480|0317861000|universitetsbiblioteket@ub.gu.se|http://www.ub.gu.se/|Göteborgs universitetsbibliotek, 405 30, Göteborg, Sweden
Brottsoffermyndigheten||Brot|specbib|Box 470|901 09|Umeå|Storgatan 49, Umeå|0|0|AC|2480|090708276|aor@brom.se|http://www.brottsoffermyndigheten.se/|Storgatan 49, Umeå, 901 09, Umeå, Sweden
Lundby bibliotek||Hisi|folkbib|Box 22130 |400 72|Göteborg|Borstbindaregatan 12A|0|0|O|1480|0313667101|bibliotek@lundby.goteborg.se|http://www.goteborg.se/lundby|Borstbindaregatan 12A, 400 72, Göteborg, Sweden
Bergslagssjukhuset||Valf|sjukbib||737 81|Fagersta||0|0|U|1982|022347064|biblioteket.fagersta.arbetsplatsbrevlada@ltvastmanland.se|http://|Bergslagssjukhuset, 737 81, Fagersta, Sweden
Sturegymnasiet||Hasr|gymbib|Engelbrektsgatan 36|302 50|Halmstad||56.6695487|12.8695226|N|1380|035137976|||Engelbrektsgatan 36, 302 50, Halmstad, Sweden
Västerhöjdsgymnasiet||Skgy|gymbib|Gymnasiegatan 1|541 31|Skövde||58.3893128|13.8398048|O|1496|0500493815|biblioteket.vasterhojd@skovde.se|http://www.gymnasiumskovde.se/sv/Allman-information/Bibliotek/|Gymnasiegatan 1, 541 31, Skövde, Sweden
 SP Sveriges Tekniska Forskningsinstitut, Kemi, Material och Ytor|Biblioteket, SP Kemi, Material och Ytor (tidigare YKIs bibliotek)|Ytib|specbib|Box 5607|114 86|Stockholm|Drottning Kristinas väg 45|0|0|AB|0180|0105166034|KMlibrary@sp.se|http://www.sp.se/sv/units/chemistry/bibliotek/Sidor/default.aspx|Drottning Kristinas väg 45, 114 86, Stockholm, Sweden
Centralbibliotek for Roskilde Amt||2Ros||Postboks 229|4000|Roskilde||0|0|||4546315000|voksen@roskildebib.dk|http://www.roskildebib.dk|Postboks 229, 4000, Roskilde, Denmark
Lycksele Hälsoinformation||Lyhi|folkbib|Lycksele lasarett|921 82|Lycksele|Sjukhusbiblioteket|0|0|AC|2481|095039245|sjukhusbibliotek.lycksele@vll.se|http://www.vll.se/sjukhusbibliotek|Sjukhusbiblioteket, 921 82, Lycksele, Sweden
Bildningscentrum Facetten||Atvg|gymbib|Gamla torget 1b|597 30|Åtvidaberg||58.200038|16.0055638|E|0561|012083373|facbiblioteket@atvidaberg.se|http://www.bildningscentrum.se/gymnasieskolan/index.asp?pageID=124|Gamla torget 1b, 597 30, Åtvidaberg, Sweden
Specialisttandvården i Gävle||Gast|sjukbib|Ingång 15A|801 87|Gävle||0|0|X|2180|026155646||http://|Ingång 15A, 801 87, Gävle, Sweden
Norges musikkhøgskole|Norges musikhögskola|5Mhs||Postboks 5190 Majorstuen|0302|Oslo|Dælenenggata 26|0|0|||4723367217|bcb@nmh.no|http://|Dælenenggata 26, 0302, Oslo, Norway
Skoklosters slotts bibliotek||Sko|musstat||746 96|Skokloster||59.694841|17.617914|C|0305|084023070|skokloster@lsh.se|http://www.skoklostersslott.se/|Skoklosters slotts bibliotek, 746 96, Skokloster, Sweden
Baldergymnasiets bibliotek||Bald|gymbib|Nygatan 15|931 32|Skellefteå|Nygatan 15|64.75103300000001|20.9462579|AC|2482|0910-71 26 33|bibliotek.balder@skelleftea.se|http://www.balderskolan.se/|Nygatan 15, 931 32, Skellefteå, Sweden
Svensk kärnbränslehantering AB (SKB)||Skab|busbib|Box 250|101 24|Stockholm|Blekholmstorget 30|0|0|AB|0180|08-579 386 33|biblioteket@skb.se|http://www.skb.se/|Blekholmstorget 30, 101 24, Stockholm, Sweden
Danmarks Jordbrugsforskning||2Djb||Postboks 50|8830|Tjele|Blichers allé|0|0|||4589991028|else.hoegh@agrsci.dk|http://www.agrsci.dk/|Blichers allé, 8830, Tjele, Denmark
Vännäsby bibliotek||Vby2|folkbib|Umevägen 194|911 35|Vännäsby|Umevägen 194|63.9141866|19.8145783|AC|2460|093514191|christina.landstrom@vannas.se|http://www.minabibliotek.se/default.aspx?id=2119&refid=2122|Umevägen 194, 911 35, Vännäsby, Sweden
Katedralskolans gymnasium||Kask|gymbib|Brunsbogatan 1|532 88|Skara||0|0|O|1495|051132318|katedral.bibl@skara.se||Brunsbogatan 1, 532 88, Skara, Sweden
Mora gymnasium||Stm|skolbib||792 80|Mora|Kristinebergsgatan 8-10|61.0113837|14.563301|W|2062|025026715|linda.peter@mora.se|http://www.moragymnasium.se/|Kristinebergsgatan 8-10, 792 80, Mora, Sweden
Kyrkbyns Bibliotek||Kybi|folkbib|Kyrkbytorget 4|418 73|Göteborg|Kyrkbytorget 4|57.7121112|11.9073178|O|1480|0313667115|biblioteket.kyrkbyn@lundby.goteborg.se|http://www.lundby.goteborg.se|Kyrkbytorget 4, 418 73, Göteborg, Sweden
Meteorologiska inst. vid Stockholms universitet||Hme|univbib|Arrheniuslaboratoriet|106 91|Stockholm|Svante Arrhenius väg 16C|0|0|AB|0180|08162406|birgitta@misu.su.se|http://www.misu.su.se|Svante Arrhenius väg 16C, 106 91, Stockholm, Sweden
Lunds universitets bibliotek|IIIEE Library|Lenv|univbib|Box 196|221 00|Lund|Tegnérplatsen 4|55.70423|13.195665|LM|1281|0462220238|library@iiiee.lu.se|http://www.iiiee.lu.se/library|Tegnérplatsen 4, 221 00, Lund, Sweden
Hjällbo bibliotek||Hja|folkbib|Hjällboplatsen|424 33|Angered|Hjällboplatsen|57.7690662|12.0232541|O|1480|0313652779|kerstin.bergstrand@larjedalen.goteborg.se|http://www.stadsbiblioteket.goteborg.se|Hjällboplatsen, 424 33, Angered, Sweden
Region Kronoberg |Biblioteket Sigfrid|Psyk|sjukbib|Box 1223|351 12|Växjö|Emil Lindells väg 13-15|0|0|G|0780|0470586470|halsobiblioteket@kronoberg.se|http://www5.ltkronoberg.se/Om-landstinget/Arbomr/Bibliotek/|Emil Lindells väg 13-15, 351 12, Växjö, Sweden
Hudiksvalls sjukhus||Husj|sjukbib||824 81|Hudiksvall|Kungsgatan 33|61.729422|17.098755|X|2184|065092965|biblioteket.hs@regiongavleborg.se|http://www.regiongavleborg.se//A-O/Lednings-och-verksamhetsstod/Utveckling/Sjukhusbibliotek/|Kungsgatan 33, 824 81, Hudiksvall, Sweden
Umeå universitetsbibliotek||Smc|univbib|Box 839|981 28|Kiruna||0|0|BD||098067600|info@smc.kiruna.se|http://www.smc.kiruna.se|Umeå universitetsbibliotek, 981 28, Kiruna, Sweden
Kaplanskolan||Kapl|skolbib|Skolvägen 2|931 44|Skellefteå||64.7542498|20.9200566|AC|2482|0910712570|eva.nasholm@skelleftea.se|http://www.skelleftea.se/|Skolvägen 2, 931 44, Skellefteå, Sweden
Københavns Hovedbibliotek|Köpenhamns huvudbibliotek|2Kkb||Krystalgade 15|1172|Köpenhamn|Krystalgade 15|0|0|||4533736041|hblae@kkb.bib.dk|http://www.bibliotek.kk.dk|Krystalgade 15, 1172, Köpenhamn, Denmark
Malmö högskolas bibliotek||Mat|univbib|Tandvårdshögskolan Odontologiska biblioteket|205 06|Malmö|Smedjegatan 16|55.591267|13.001746|LM|1280|0406658463|odbiblioteket@mah.se|http://www.mah.se/bibliotek|Smedjegatan 16, 205 06, Malmö, Sweden
Telenor AS||5Teb|busbib|Postboks 83|N-2007|Oslo||0|0|||4763809323||http://|Postboks 83, N-2007, Oslo, Norway
Genebiblioteket||Gene|folkbib|Box 34|892 21|Domsjö|Doktorsgatan 6, 892 30 DOMSJÖ|0|0|Y||0660265400|genebiblioteket@ornskoldsvik.se|http://www.genebiblioteket.nu|Doktorsgatan 6, 892 30 DOMSJÖ, 892 21, Domsjö, Sweden
Länsbibliotek Sydost/Växjö stadsbibliotek||Va|folkbib|Box 1202\n351 12 VÄXJÖ|351 12|Växjö|Västra Esplanaden 7|0|0|G|0780|047041431|fjarrlan.bibliotek@vaxjo.se|http://www.lansbiblioteksydost.org/|Västra Esplanaden 7, 351 12, Växjö, Sweden
Blekinge tekniska högskola||Bthp|univbib|Box 214|374 24|Karlshamn|Biblioteksgatan 4|56.164551|14.865995|K|1080|0455385128|piren@bth.se|http://www.bth.se/bibliotek/|Biblioteksgatan 4, 374 24, Karlshamn, Sweden
Mittuniversitetet||Mh|univbib||83125|Östersund||63.176974|14.649512|Y|2280|063165386|bibosd@miun.se|http://www.bib.miun.se/|Mittuniversitetet, 83125, Östersund, Sweden
Raoul Wallenberg institutet||Lrwi|univbib|Box 11 55|221 05|Lund|Stora Gråbrödersgatan 17|55.704891|13.191336|LM|1281|0462221230|library@rwi.lu.se|http://www.rwi.lu.se/library|Stora Gråbrödersgatan 17, 221 05, Lund, Sweden
Lahtis stadsbibliotek|Lahden Kaupunginkirjasto|3Lam||Box 91|151 41|Lahti||0|0|||3583812511|kaupunginkirjasto@lahti.fi|http://|Lahtis stadsbibliotek, 151 41, Lahti, Finland
Syddansk Universitetsbibliotek||2Sus||Alsion 2|64 00|Sønderborg|Alsion 2|0|0|||4565501160|sonderborg@bib.sdu.dk|http://www.bib.sdu.dk/organisation/afdelinger/soenderborg/index.php|Alsion 2, 64 00, Sønderborg, Denmark
